Rank,Name,Birth Name,Age,Date of Birth,Country of Origin,Residing in,Height,Other Info,Added,TV Shows,Movies
39,izabel goulart,Maria Izabel Goulart Dourado,35,23 October 1984,Brazil,United States,"5' 11""","In a relationship, Partner: Kevin Trapp, 452 Views, 4 votes","7 years ago, ","Two and a Half Men, Entourage, Late Night with Conan O'Brien, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, View all Izabel Goulart TV, ","Baywatch, Victoria's Secret Fashion Show (2013),  Victoria's Secret Fashion Show (2015)Exposure: Sports Illustrated Swimsuit 2011, View all Izabel Goulart movies, "
40,xenia deli,Xenia Deli,30,27 October 1989,"Moldova, Republic of",United States,"5' 7""","Married, Partner: Ossama Fathi Rabah Al-Sharif, 1147 Views, 3 votes","7 years ago, ","Love Advent, ", 
41,bregje heinen,Bregje Heinen,27,5 March 1993,Netherlands,United States,"5' 9""","In a relationship, Partner: Ro Parra-Grady, 155 Views, 2 votes","8 years ago, ","The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show (2012), Victoria's Secret Fashion Show                                  (2014), ","The Assistant, "
42,brooklyn decker,Brooklyn Danielle Decker,33,12 April 1987,United States,,"5' 9""","Married, Partner: Andy Roddick, 766 Views, 3 votes","8 years ago, ","Ugly Betty, Chuck, Entertainment Tonight, Extreme Makeover: Home Edition, Late Show with David Letterman, View all Brooklyn Decker TV, ","Just Go with It, Battleship, What To Expect When You're Expecting, Solitary Man, Stretch, View all Brooklyn Decker movies, "
43,gracie carvalho,Gracie Carvalho,29,23 July 1990,Brazil,United States,"5' 9""","In a relationship, Partner: Rafael Nata, 190 Views, 1 votes","10 years ago, ","The Victoria's Secret Fashion Show, ", Victoria's Secret Fashion Show (2015)
44,martha hunt,Martha Seifert Hunt,31,27 April 1989,United States,,"5' 10""","In a relationship, Partner: Jason McDonald, 805 Views, 7 votes","4 years ago, ","2 Broke Girls, Entertainment Tonight, Victoria's Secret Fashion Show                                  (2014), Victoria's Secret Fashion Show                                  (2016), The Victoria's Secret Swim Special                                  (2016), View all Martha Hunt TV, ","Victoria's Secret Fashion Show (2013), Taylor Swift: Bad Blood,  Victoria's Secret Fashion Show (2015)2015 MTV Video Music Awards, The Victoria's Secret Fashion Show (2018), View all Martha Hunt movies, "
45,sandra kubicka,Sandra Kubicka,25,22 January 1995,Poland,United States,"5' 9""","In a relationship, Partner: Kaio Alves Goncalves, 1240 Views, 1 votes","8 years ago, ","Victoria's Secret Fashion Show                                  (2014), ", 
46,isabeli fontana,Isabeli Bergossi Fontana,36,4 July 1983,Brazil,Italy,"5' 9""","Married, Partner: Di Ferrero, 1871 Views, 7 votes","4 years ago, ","The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show (2012), View all Isabeli Fontana TV, ","Manolo: The Boy Who Made Shoes for Lizards, Double Dutchess: Seeing Double                                  (2017), Vogue: You're So Vain (Editorial), "
47,ariel meredith,Ariel Meredith,33,11 July 1986,United States,,"5' 11""","In a relationship, Partner: Hakeem Nicks, 246 Views, 1 votes","7 years ago, ","Late Show with David Letterman, Sports Illustrated: Swimsuit 2009, Sports Illustrated: The Making of Swimsuit 2013, Sports Illustrated: The Making of Swimsuit 2012, View all Ariel Meredith TV, ", 
48,jehane paris,Jehane-Marie Paris,27,14 June 1992,United States,,"5' 8""","In a relationship, Partner: Dean Bartlett, 628 Views, 2 votes","8 years ago, ", , 
49,jessica gomes,Jessica Gomes,35,25 September 1984,Australia,United States,"5' 9""","Single, 727 Views, 4 votes, 1 comments","8 years ago, ", , 
50,hannah davis,Hannah Davis,30,1 May 1990,"Virgin Islands, U.S.",United States,"5' 10""","Married, Partner: Derek Jeter, 494 Views, 2 votes","6 years ago, ","The Bill, Loose Women, ","Secrets & Lies, The Understudy                                  (2008), "
51,johanna lundback,Johanna Romsdal Lundbäck,28,7 December 1991,Sweden,,"5' 9""","Married, Partner: Jared Jerebko, 635 Views, 2 votes","5 years ago, ", ,"Frostbiten, "
52,brooklyn decker,Brooklyn Danielle Decker,33,12 April 1987,United States,,"5' 9""","Married, Partner: Andy Roddick, 766 Views, 3 votes","8 years ago, ","Ugly Betty, Chuck, Entertainment Tonight, Extreme Makeover: Home Edition, Late Show with David Letterman, View all Brooklyn Decker TV, ","Just Go with It, Battleship, What To Expect When You're Expecting, Solitary Man, Stretch, View all Brooklyn Decker movies, "
53,lindsay ellingson,Lindsay Marie Ellingson,35,19 November 1984,United States,,"5' 11""","Married, Partner: Sean Clayton, 1103 Views, 7 votes","6 years ago, ","Entertainment Tonight, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, View all Lindsay Ellingson TV, ","Victoria's Secret Fashion Show (2013), Are All Men Pedophiles?, "
54,lily aldridge,Lily Maud Aldridge,34,15 November 1985,United States,,"5' 9""","Married, Partner: Caleb Followill, 611 Views, 4 votes, 2 comments","7 years ago, ","2 Broke Girls, Entertainment Tonight, Jimmy Kimmel Live!, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, View all Lily Aldridge TV, ","Ocean's Eight, Victoria's Secret Fashion Show (2013), Are All Men Pedophiles?, Taylor Swift: Bad Blood,  Victoria's Secret Fashion Show (2015)View all Lily Aldridge movies, "
55,caroline corinth,Caroline Corinth Zirpel,25,20 July 1994,Denmark,,"5' 9""","Single, 106 Views","5 years ago, ", , 
56,jessica clarke_iii,Jessica Roimata Clarke,26,19 May 1993,New Zealand,United Kingdom,"5' 11""","In a relationship, Partner: Rufus Taylor, 192 Views","7 years ago, ","The Victoria's Secret Fashion Show, ", 
57,sandra kubicka,Sandra Kubicka,25,22 January 1995,Poland,United States,"5' 9""","In a relationship, Partner: Kaio Alves Goncalves, 1240 Views, 1 votes","8 years ago, ","Victoria's Secret Fashion Show                                  (2014), ", 
58,toni garrn,Antonia Garrn,27,7 July 1992,Germany,United States,"6' 0""","In a relationship, Partner: Alex Pettyfer, 364 Views, 3 votes","6 years ago, ","The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show (2012), Germany's Next Topmodel, You Are Wanted, View all Toni Garrn TV, ","Spider-Man: Far from Home, Victoria's Secret Fashion Show (2013), Berlin, I Love You, The Victoria's Secret Fashion Show (2018), Head Full of Honey, View all Toni Garrn movies, "
59,hannah davis,Hannah Davis,30,1 May 1990,"Virgin Islands, U.S.",United States,"5' 10""","Married, Partner: Derek Jeter, 494 Views, 2 votes","6 years ago, ","The Bill, Loose Women, ","Secrets & Lies, The Understudy                                  (2008), "
60,irina shayk,Irina Shaykhlislamova,34,6 January 1986,Russian Federation,United States,"5' 10""","Single, 586 Views, 5 votes","3 years ago, ","Entertainment Tonight, Late Show with David Letterman, The Late Late Show with Craig Ferguson, Chelsea Lately, Sports Illustrated: Swimsuit 2009, View all Irina Shayk TV, ","Hercules, Exposure: Sports Illustrated Swimsuit 2011, Sports Illustrated Swimsuit: 50 Years of Beautiful, Valentino: Haute Couture Spring/Summer 2020, View all Irina Shayk movies, "
61,xenia deli,Xenia Deli,30,27 October 1989,"Moldova, Republic of",United States,"5' 7""","Married, Partner: Ossama Fathi Rabah Al-Sharif, 1147 Views, 3 votes","7 years ago, ","Love Advent, ", 
62,erin heatherton,Erin Heather Bubley,31,4 March 1989,United States,,"5' 11""","In a relationship, Partner: Ben Van Leeuwen, 809 Views, 2 votes","5 years ago, ","The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, The League, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, View all Erin Heatherton TV, ","Grown Ups 2, She's Funny That Way, Victoria's Secret Fashion Show (2013), Are All Men Pedophiles?, 2015 NBA All Star All Style, View all Erin Heatherton movies, "
63,jessica perez_ii,Jessica Perez,35,24 August 1984,Costa Rica,United States,"5' 9""","Single, 380 Views","8 years ago, ", , 
64,lais ribeiro,Lais Ribeiro,30,5 October 1989,Brazil,United States,"6' 0""","In a relationship, Partner: Joakim Noah, 837 Views, 4 votes, 1 comments","4 years ago, ","The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, Victoria's Secret Fashion Show                                  (2014), Victoria's Secret Fashion Show                                  (2016), The Victoria's Secret Swim Special                                  (2016), View all Lais Ribeiro TV, ","Fyre, Victoria's Secret Fashion Show (2013),  Victoria's Secret Fashion Show (2015)The Victoria's Secret Fashion Show (2018), The Victoria's Secret Fashion Show (2017), View all Lais Ribeiro movies, "
65,angela marcello,Angela Marcello,36,8 June 1983,United States,,"5' 8"", 678 Views",,"8 years ago, ", , 
66,amanda wellsh,Amanda Brandão Wellsh,33,25 May 1986,Brazil,,"5' 10"", 207 Views",,"6 years ago, ", , 
67,heidi herschbach,,,,,,,United States,"2 years ago, ","How I Met Your Mother, CSI: Crime Scene Investigation, Entourage, ","Yes Man, Deep in the Valley, Say Uncle, "
68,jarah mariano,Jarah-Evelyn Makalapua Mariano,35,28 November 1984,United States,,"5' 8""","Single, 159 Views, 1 votes","8 years ago, ","Chuck, Rescue Me, Sports Illustrated: Swimsuit 2009, Sports Illustrated: Swimsuit 2008, View all Jarah Mariano TV, ","Minority Report, 007 - Skyfall, The Girl from Monday, The Audition, View all Jarah Mariano movies, "
69,lucia dvorska,Lucia Dvorská,31,14 July 1988,Slovakia,,"5' 9""","Single, 246 Views","2 years ago, ","Sports Illustrated: Swimsuit 2009, A Model Life, ", 
70,simone villas boas,Simone F Villas Boas ,32,6 September 1987,Brazil,United States,"5' 9""","Married, Partner: Jared Koronkiewicz, 922 Views, 1 votes","10 years ago, ", , 
71,raica oliveira,Raica Oliveira,36,22 January 1984,Brazil,,"5' 11"", 52 Views, 1 votes",,"5 years ago, ","Domingão do Faustão, Verdades Secretas                                  (2015-2015), ", 
72,shannan click,Shannan Click,36,17 November 1983,United States,,"5' 8""","In a relationship, Partner: Jack Huston, 1052 Views, 4 votes, 2 comments","8 years ago, ","The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, Attack of the Show!, View all Shannan Click TV, ","Deception, The Last International Playboy, Exposure: Sports Illustrated Swimsuit 2011, "
73,leticia zuloaga,Leticia Zuloaga,27,18 August 1992,Spain,,"5' 10"", 251 Views",,"8 years ago, ", , 
74,natalie suliman,Natalie Suliman,34,1 January 1986,United Kingdom,,"5' 7""","In a relationship, Partner: Kieran Richardson, 234 Views","2 years ago, ", , 
75,kim cloutier,kim cloutier,33,25 March 1987,Canada,United States,"5' 9""","Single, 707 Views, 2 votes","9 years ago, ","Sports Illustrated: Swimsuit 2009, Letterkenny, ","The Cobbler, "
76,clara alonso_ii,Clara Alonso,32,21 September 1987,Spain,United States,"5' 9""","Married, 614 Views, 1 votes","9 years ago, ","The Victoria's Secret Fashion Show, ", 
77,valerie van der graaf,Valerie van der Graaf,28,12 February 1992,Netherlands,,"5' 11""","Single, 532 Views","7 years ago, ", , 
78,daiane sodre,Daiane Sodre,27,11 March 1993,Brazil,,"5' 11"", 88 Views",,"7 years ago, ", , 
79,lauren ridealgh,Lauren Ridealgh,32,25 November 1987,United Kingdom,,"5' 8""","Single, 1983 Views, 2 votes","6 years ago, ", , 
80,sandra lorena valencia,Sandra Valencia,32,28 December 1987,Colombia,,"5' 8""","Married, 994 Views, 1 votes","5 years ago, ", , 
81,danielle knudson,Danielle Knudson,30,17 July 1989,Canada,United States,"5' 9""","In a relationship, Partner: Alexandre Pato, 348 Views, 1 votes","4 years ago, ","The Insider, ", 
82,bianca balti,Bianca Balti,36,19 March 1984,Italy,United Kingdom,"5' 9""","Single, 983 Views, 4 votes","7 years ago, ","The Victoria's Secret Fashion Show, Zelig                                  (2002- ), Ultimate Beastmaster, Il testimone, MTV Europe Music Awards 2015, View all Bianca Balti TV, ","Go Go Tales, The Tale of a Fairy, "
83,katarina ivanovska,Катарина Ивановска,31,18 August 1988,"Macedonia, The Former Yugoslav Republic of",,"5' 11""","Single, 602 Views","8 years ago, ", ,"Treto poluvreme, "
84,elisandra tomacheski,Elisandra Tomacheski,29,28 October 1990,Brazil,United States,"5' 7""","Single, 1226 Views, 1 votes","9 years ago, ", , 
85,cameron russell_ii,Cameron Russell,32,14 June 1987,United States,,"5' 9""","In a relationship, Partner: Damani Baker, 148 Views, 2 votes","7 years ago, ","The Victoria's Secret Fashion Show, Portlandia, The Victoria's Secret Fashion Show (2012), ", 
86,dominika szijartoova,Dominika Szijartoova,,,,Slovakia,"5' 9"", 100 Views",,"2 years ago, ", , 
87,gio ott,Gio Ott,33,17 November 1986,United States,,"5' 9""","Single, 272 Views, 1 votes","5 years ago, ", , 
88,mathilde frachon,Mathilde Julia Frachon,30,16 February 1990,France,United Kingdom,"5' 10""","Single, 185 Views, 1 votes, 1 comments","4 years ago, ", , 
89,alena blohm,Alena Blohm,26,1 June 1993,Germany,United Kingdom,"5' 9""","In a relationship, 329 Views, 1 votes","3 years ago, ","Fashion Police, ", 
90,aljona shiskova,Алёна Шишкова,27,12 November 1992,Russian Federation,Dominican Republic,"5' 9""","In a relationship, Partner: Timati, 993 Views, 2 votes","2 years ago, ", , 
91,catalina otalvaro,Catalina Otalvaro,28,15 December 1991,Colombia,,"5' 6""","Single, 1143 Views, 3 votes, 1 comments","7 years ago, ", , 
92,masha novoselova,Masha Novoselova,35,31 January 1985,Russian Federation,France,"5' 9""","Married, Partner: Dimitri Rassam, 151 Views","2 years ago, ", , 
93,fernanda prada,Fernanda Prada,39,22 September 1980,Brazil,United Kingdom,"5' 9""","Single, 239 Views, 1 votes","2 years ago, ", , 
94,talita correa,Talita Correa,31,6 August 1988,Brazil,United States,"5' 9""","Single, 785 Views, 2 votes","4 years ago, ", , 
95,anett griffel,Anett Griffel,29,8 November 1990,Estonia,,"5' 10""","Single, 250 Views, 1 votes","6 years ago, ", , 
96,rachelle goulding,Rachelle Goulding,33,21 May 1986,Canada,,"5' 8"", 282 Views",,"7 years ago, ","Lucifer, General Hospital, Lethal Weapon (2016-2019), Casual, Get Shorty, View all Rachelle Goulding TV, ","Window Theory, "
97,nicole meyer,Nicole Meyer,28,16 October 1991,South Africa,United States,"5' 10""","Single, 1400 Views, 3 votes","7 years ago, ", , 
98,katsia damankova,Katia Damankova,30,19 January 1990,Belarus,United States,"5' 10"", 498 Views, 1 votes",,"2 years ago, ", , 
99,chrissy teigen,Christine Diane Teigen ,34,30 November 1985,United States,,"5' 9""","Married, Partner: John Legend, 217 Views, 2 votes","3 years ago, ","The Simpsons, The Daily Show, America's Next Top Model, Entertainment Tonight, Late Show with David Letterman, View all Christine Teigen TV, ","Hotel Transylvania 3: Summer Vacation, Between Two Ferns: The Movie, Exposure: Sports Illustrated Swimsuit 2011, 2015 MTV Video Music Awards, Sports Illustrated Swimsuit: 50 Years of Beautiful, View all Christine Teigen movies, "
